N° BIEN;ADRESSE;VILLE;CODE POSTAL;VALEUR D'ACHAT PLEINE PROPRIETE (HORS FRAIS);VALEUR TRANSACTION (HORS FRAIS); M2 ESTIME;NB PIECES;TYPE BIEN;DATE TRANSACTION;ANNEE DE CONSTRUCTION;ANNEXES;INFORMATIONS
98; av Kleber;PARIS 16;75016;1 083 188;685 000;87;3;APPARTEMENT;06/07/2020;;PARKING;
45; RUE PONCELET;PARIS 17;75017;235 383;110 000;23;3;APPARTEMENT;07/07/2020;;;
55; rue Jean Jaurès;VANVES;92170;358 136;228 630;70;3;APPARTEMENT;07/07/2020;27/05/1905;une cave;Proche Métro ligne 13, arrêt plateau de Vanves à 2 minutes à pieds, à proximité de nombreux commerces. Appartement traversant exposition salon sud / chambre et cuisine au nord composé de : 2 chambres, cuisine séparé+ espace buanderie, 1 salle de bain,  wc séparé, balcon de 4m², donnant sur le salon.
14; rue du huit mai;SAINTE FOY LES LYON;69110;159 437;110 000;49;2;APPARTEMENT;07/07/2020;23/05/1905;cave, garage extérieur;Appartement T2 situé dans le quartier Chavril, à moins de 5 km de l'entrée de Lyon et à moins de 15mn de la Place Bellcour. Situé dans un quartier calme, proche des des commodités, il offre une vue agréable sur les Monts. Il est composé d'un séjour, d'une chambre, d'un balcon orienté à l'ouest, une cuisine indépendante, ainsi que d'un garage extérieur et d'une cave.
6; rue Jules Ferry;FONTAINES SUR SAONE;69270;203 070;151 000;78;3;APPARTEMENT;08/07/2020;15/06/1905;garage, cave, terrasse 16,5 m2;"périphérie lyonnaise - appartement en étage élevé avec façade exposée ouest  donnant sur les jardins avec vue imprenable. Appartement T4 au coeur de Fontaines-Sur-Saône. Situé à moins de 10 km de l'entrée de Lyon. Cet appartement est situé dans une petite copropriété avec un petit parc privé.  4ème étage avec ascenseur, calme et lumineux, sans vis à vis.
Salon Salle à manger est ouvert sur un large balcon. Cuisine équipée donnant sur le balcon, 2 chambres, salle de bain, nombreux rangements, cave et garage fermé en sous-sol. Il est situé proche de toutes commodités."
17; rue Casteja;BORDEAUX;33000;761 600;600 600;188;6;APPARTEMENT;09/07/2020;04/12/1904;cave;Hyper-centre (triangle d'or) Appartement familial recherché dans le secteur de très grande superficie, belle pièce de réception et de nombreuses chambres.  beaucoup de charme (fenêtres hautes d’origine, cheminées en marbre, belle hauteur sous plafond, moulures, verrière).
27;"Le Gallia Bâtiment C
 BD MONT FLEURY";CANNES;6400;681 724;520 000;78;3;APPARTEMENT;15/07/2020;;;26 M2 DE TERRASSE+GARAGE+CAVE+VUE MER EXEPTIONNELLE
20;"Tour Bellevue
20 route de la Badine";ANTIBES;6600;598 282;355 000;137;4;APPARTEMENT;07/08/2020;21/05/1905;cave, garage et parking extérieur;Antibes, une destination familiale et élégante, très bel appartement de 137 m² environ avec une vue mer, en excellent état et très bien agencé, à proximité des commodités et des plages, très lumineux et profitant d'une terrasse avec vue mer. Proposant une grande entrée, une cuisine dînatoire,  1 salon, 3 chambres, 2 salles d'eau et 1 salle de bains. Disposant d'une cave et d'un garage. La copropriété dispose de parkings extérieurs invités.
3; AV ROBERT SCHUMAN;BOULOGNE BILLANCOURT;92100;733 276;437 000;65;3;APPARTEMENT;31/08/2020;;;CAVE+TERRASSE+PARKING
70; allée des cimes;Bormes les Mimosas;83230;568 887;403 300;134;6;MAISON;10/09/2020;07/05/1905;terrain 1935 m2, terrasse 25 m2;Bormes les Mimosas résidence de villégiature des présidents de la république, maison de 190 m² avec vue mer panoramique, en excellent état , jardin de 1935 m² complanté d'essences méditerranéennes , dans un secteur très recherché à 5 min en voiture du village historique.
11;"Carré Indigo
141 AV DU MARECHAL LECLERC";SANARY S /MER;83110;618 743;269 575;116;4;APPARTEMENT;18/09/2020;27/06/1905;;RAVALEMENT PAYE EN COURS + VUE MER
61; RUE DE RENNES;PARIS 06;75006;1 620 876;1 192 000;121;5;APPARTEMENT;01/10/2020;14/03/1905;;4/6 ETAGES+ 300M DE ST GERMAIN DES PRES
489;"La Chenaie
, Chemin de la Gacholle
Route de Murs";GORDES;84220;1 020 778;500 096;150;5;MAISON;12/10/2020;02/06/1905;;PISCINE +VILLAGE CLASSE+TERRAIN DE 2390M2
19;" RUE RACINE
CASTEL ANSALDY";BANDOL;83150;314 637;176 000;58;2;APPARTEMENT;10/11/2020;11/04/1905;CAVE;A 100M DE LA MER
90;RUE DU MISTRAL;MAUGUIO;34130;362 025;148 000;81;4;APPARTEMENT;01/12/2020;;;VUE MER+BOX+TERRASSE 50M2
95; PROMENADE DES ANGLAIS;NICE;6000;1 479 348;864 000;189;5;APPARTEMENT;04/12/2020;;32M2 DE TERRASSE;VUE MER
34;BD THIERS;ST JEAN DE LUZ;64500;789 405;660 000;85;4;APPARTEMENT;14/12/2020;;;5 ETAGES SUR 5+TERRASSE+PARKING
10; RUE JOSEPH BARA;PARIS 06;75006;1 183 862;820 000;78;3;APPARTEMENT;14/12/2020;02/06/1905;CAVE + PARKING;5 ETAGES+BALCON DE 15M2
14;AV CROIX DE LA GARDES;CANNES;6400;532 134;440 000;101;4;APPARTEMENT;22/12/2020;;CAVE + GARAGE;5/5 ETAGE + 2 BALCON 25M2 + VUE MER
13; RUE DES FRIGOS;PARIS 13;75013;1 843 806;1 100 000;144;5;APPARTEMENT;23/12/2020;25/06/1905;;8 ETAGE TOIT TERRASSE+ 183,81 M2 DE TERRASSE+DUPLEX+ETAT EXCEPTIONNNEL
114; RUE DU BAC;PARIS 07;75007;1 159 161;700 000;66;2;APPARTEMENT;28/12/2020;03/01/1905;BELLE DECO;REZ DE CHAUSSEE+ QUARTIER ST THOMAS D'AQUIN
134; CHEMIN DE TRACASTEL;SAIGNON;84400;1 279 731;1 000 000;330;8;MAISON;29/12/2020;;PISCINE;1 HECTARE DE TERRAIN
18; RUE DE L'ASSOMPTION;PARIS 16;75016;1 905 883;1 476 250;181;6;APPARTEMENT;29/12/2020;08/04/1905;prix du box en plus entre 20 ET 30K;6 ETAGE+ CHAMBRE DE SERVICE+ CAVE+BOX5 (DANS IMMEUBLE VOISIN)
167; PROMENADE DES FLOTS BLEUS;ST LAURENT DU VAR;6700;1 089 808;650 000;100;5;APPARTEMENT;30/12/2020;15/06/1905;TERRASSE DE 18,68+PARKING +PISCINE;3 ETAGE +VUE MER
137; CHEMIN DE LA COSTIERE;NICE;6000;195 997;150 000;57;2;APPARTEMENT;12/01/2021;;PARKING;TERRASSE + 5 ETAGES /5
7; BD DAVOUT;PARIS 20;75020;696 961;420 000;86;3;APPARTEMENT;13/01/2021;23/05/1905;CAVE + BOX;8 ETAGE /12 + DECO DE QUALITE
